YEAR DAY  HR    RAD_AU      HGI_LAT   HGI_LON
2023   1   0    0.9830    -2.971    24.035
2023   1   1    0.9830    -2.976    24.078
2023   1   2    0.9830    -2.980    24.120
2023   1   3    0.9830    -2.985    24.162
2023   1   4    0.9830    -2.990    24.204
2023   1   5    0.9830    -2.995    24.247
2023   1   6    0.9830    -3.000    24.289
2023   1   7    0.9830    -3.005    24.331
2023   1   8    0.9830    -3.010    24.373
2023   1   9    0.9830    -3.015    24.416
2023   1  10    0.9830    -3.020    24.458
2023   1  11    0.9830    -3.024    24.500
2023   1  12    0.9830    -3.029    24.542
2023   1  13    0.9830    -3.034    24.585
2023   1  14    0.9830    -3.039    24.627
2023   1  15    0.9830    -3.044    24.669
2023   1  16    0.9830    -3.049    24.711
2023   1  17    0.9830    -3.054    24.754
2023   1  18    0.9830    -3.058    24.796
2023   1  19    0.9830    -3.063    24.838
2023   1  20    0.9830    -3.068    24.880
2023   1  21    0.9830    -3.073    24.923
2023   1  22    0.9830    -3.078    24.965
2023   1  23    0.9830    -3.083    25.007
2023   2   0    0.9830    -3.088    25.049
2023   2   1    0.9830    -3.092    25.092
2023   2   2    0.9830    -3.097    25.134
2023   2   3    0.9830    -3.102    25.176
2023   2   4    0.9830    -3.107    25.218
2023   2   5    0.9830    -3.112    25.261
2023   2   6    0.9830    -3.117    25.303
2023   2   7    0.9830    -3.121    25.345
2023   2   8    0.9830    -3.126    25.387
2023   2   9    0.9830    -3.131    25.430
2023   2  10    0.9830    -3.136    25.472
2023   2  11    0.9830    -3.141    25.514
2023   2  12    0.9830    -3.146    25.556
2023   2  13    0.9830    -3.150    25.599
2023   2  14    0.9830    -3.155    25.641
2023   2  15    0.9830    -3.160    25.683
2023   2  16    0.9830    -3.165    25.725
2023   2  17    0.9830    -3.170    25.768
2023   2  18    0.9830    -3.175    25.810
2023   2  19    0.9830    -3.179    25.852
2023   2  20    0.9830    -3.184    25.895
2023   2  21    0.9830    -3.189    25.937
2023   2  22    0.9830    -3.194    25.979
2023   2  23    0.9830    -3.199    26.021
2023   3   0    0.9830    -3.203    26.064
2023   3   1    0.9830    -3.208    26.106
2023   3   2    0.9830    -3.213    26.148
2023   3   3    0.9830    -3.218    26.190
2023   3   4    0.9830    -3.223    26.233
2023   3   5    0.9830    -3.227    26.275
2023   3   6    0.9830    -3.232    26.317
2023   3   7    0.9830    -3.237    26.359
2023   3   8    0.9830    -3.242    26.402
2023   3   9    0.9830    -3.247    26.444
2023   3  10    0.9830    -3.251    26.486
2023   3  11    0.9830    -3.256    26.528
2023   3  12    0.9830    -3.261    26.571
2023   3  13    0.9830    -3.266    26.613
2023   3  14    0.9830    -3.270    26.655
2023   3  15    0.9830    -3.275    26.697
2023   3  16    0.9830    -3.280    26.740
2023   3  17    0.9830    -3.285    26.782
2023   3  18    0.9830    -3.290    26.824
2023   3  19    0.9830    -3.294    26.867
2023   3  20    0.9830    -3.299    26.909
2023   3  21    0.9830    -3.304    26.951
2023   3  22    0.9830    -3.309    26.993
2023   3  23    0.9830    -3.313    27.036
2023   4   0    0.9830    -3.318    27.078
2023   4   1    0.9830    -3.323    27.120
2023   4   2    0.9830    -3.328    27.162
2023   4   3    0.9830    -3.333    27.205
2023   4   4    0.9830    -3.337    27.247
2023   4   5    0.9830    -3.342    27.289
2023   4   6    0.9830    -3.347    27.331
2023   4   7    0.9830    -3.352    27.374
2023   4   8    0.9830    -3.356    27.416
2023   4   9    0.9830    -3.361    27.458
2023   4  10    0.9830    -3.366    27.501
2023   4  11    0.9830    -3.370    27.543
